WeatherTime,t-000h,t-006h,t-012h,t-018h,t-024h,t-030h,t-036h,t-042h,t-048h,t-054h,t-060h,t-066h,t-072h,t-078h,t-084h,t-090h,t-096h,t-102h,t-108h,t-114h,t-120h,t-126h,t-132h,t-138h,t-144h,t-150h,t-156h,t-162h,t-168h,t-174h,t-180h,t-186h,t-192h,t-198h
2018-04-10T18:00:00,,4.115552,,,,,,3.086664,,,,2.57222,,3.086664,,3.086664,,4.115552,,4.115552,,6.687772,6.687772,6.687772,6.687772,6.687772,5.14444,,5.14444,4.629996,,4.629996,5.658884,
2018-04-11T00:00:00,2.57222,,1.543332,,,,,,1.543332,,1.543332,,2.057776,,,,2.57222,,,,3.601108,,6.173328,6.173328,6.173328,5.14444,5.14444,4.629996,,4.629996,4.629996,,4.629996,3.086664
2018-04-11T06:00:00,,,,2.57222,,,,,,2.57222,,2.057776,,3.086664,,4.629996,,4.115552,,,,4.629996,,,,,,,,,5.658884,5.14444,,
2018-04-11T12:00:00,4.115552,,4.115552,,3.086664,,,,,,4.629996,,,,2.57222,,4.115552,,4.629996,,4.629996,,4.115552,,3.601108,3.601108,3.601108,4.115552,4.115552,3.601108,,,,
2018-04-11T18:00:00,,3.086664,,3.086664,,2.057776,,,,,,2.57222,,1.543332,,,,,,3.086664,,4.115552,,3.601108,,,,,2.57222,3.086664,3.086664,,,
2018-04-12T00:00:00,4.629996,,3.086664,,2.57222,,,,,,,,2.57222,,,,,,2.57222,,2.57222,,2.57222,,2.57222,,,,,,,,,
2018-04-12T06:00:00,,3.086664,,2.57222,,2.057776,,,,,,,,2.057776,,,,,,2.57222,,2.057776,,2.57222,,2.57222,,,,,,,,
2018-04-12T12:00:00,5.14444,,5.658884,,4.115552,,6.173328,,5.14444,,,,,,4.115552,,4.115552,,4.629996,,5.658884,,5.14444,,5.658884,,5.14444,,4.629996,4.629996,4.629996,,,
2018-04-12T18:00:00,,4.629996,,6.173328,,5.14444,,6.687772,,4.115552,,,,,,4.629996,,3.601108,,5.14444,,6.173328,,5.658884,,6.173328,,6.173328,,,,,,
2018-04-13T00:00:00,5.658884,,3.086664,,4.115552,,3.601108,,4.115552,,3.601108,,,,,,3.601108,,,,,,4.629996,,4.115552,,5.14444,,5.658884,,3.601108,3.601108,3.601108,
2018-04-13T06:00:00,,2.57222,,2.57222,,3.086664,,3.086664,,2.57222,,3.086664,,,,,,4.115552,,3.086664,,,,,,,,3.601108,,4.115552,,,,
2018-04-13T12:00:00,6.687772,,7.202216,,6.173328,,7.202216,,5.14444,,7.202216,,5.14444,,,,,,5.14444,,5.14444,,4.629996,,4.629996,,4.629996,,4.629996,,3.601108,,,
2018-04-13T18:00:00,,6.687772,,6.173328,,6.687772,,7.71666,,5.658884,,8.231104,,5.658884,,,,,,,,4.115552,,4.115552,,,,4.115552,,4.115552,,4.115552,,
2018-04-14T00:00:00,7.71666,,4.629996,,5.658884,,4.629996,,6.173328,,4.115552,,5.658884,,5.14444,,,,,,4.629996,,5.14444,,4.629996,,5.658884,,4.629996,,5.14444,,,
